"LIST_CODE_ID","LIST_TYPE_ID","CODE","NAME"
"A01","H","S06.0","WSTRZĄŚNIENIE"
"A01","H","S06.1","URAZOWY OBRZĘK MÓZGU"
"A01","H","S06.2","ROZLANY URAZ MÓZGU"
"A01","H","S06.3","OGNISKOWY URAZ MÓZGU"
"A01","H","S06.4","KRWOTOK NADTWARDÓWKOWY"
"A01","H","S06.5","URAZOWY KRWOTOK PODTWARDÓWKOWY"
"A01","H","S06.6","URAZOWY KRWOTOK PODPAJĘCZYNÓWKOWY"
"A01","H","S06.7","URAZ SRÓDCZASZKOWY Z DŁUGOTRWAŁYM OKRESEM NIEPRZYTOMNOŚCI"
"A01","H","S06.8","INNE URAZY SRÓDCZASZKOWE"
"A01","H","S06.9","URAZ SRÓDCZASZKOWY, NIE OKREŚLONY"
"A02","H","S02.0","ZŁAMANIE KOŚCI SKLEPIENIA CZASZKI"
"A02","H","S02.1","ZŁAMANIE KOŚCI PODSTAWY CZASZKI"
"A02","H","S02.2","ZŁAMANIE KOŚCI NOSOWYCH"
"A02","H","S02.6","ZŁAMANIE ŻUCHWY"
"A02","H","S02.7","WIELOKROTNE ZŁAMAŃIA KOŚCI CZASZKI I TWARZOCZASZKI"
"A02","H","S02.8","ZŁAMANIE INNYCH KOŚCI CZASZKI I TWARZOCZASZKI"
"A02","H","S02.9","ZŁAMANIE KOŚCI CZASZKI I TWARZOCZASZKI, CZĘŚĆ NIEOKREŚLONA"
"A02","H","S04.0","URAZ NERWU I DRÓG WZROKOWYCH"
"A02","H","S07.1","URAZ ZMIAŻDŻENIOWY CZASZKI"
"A02","H","S09.7","LICZNE URAZY GŁOWY"
"A02","H","S09.8","INNE OKREŚLONE URAZY GŁOWY"
"A02","H","S09.9","NIEOKREŚLONY URAZ GŁOWY"
"A02","H","T02.0","ZŁAMAŃIA OBEJMUJĄCE GŁOWĘ I SZYJĘ"
"A02","H","T90.5","NASTĘPSTWA URAZU ŚRÓDCZASZKOWEGO"
"A03","H","G20","CHOROBA PARKINSONA"
"A03","H","G21.0","ZŁOŚLIWY ZESPÓŁ NEUROLEPTYCZNY"
"A03","H","G21.1","PARKINSONIZM WTÓRNY WYWOŁANY INNYMI LEKAMI"
"A03","H","G21.2","PARKINSONIZM WTÓRNY WYWOŁANY INNYMI CZYNNIKAMI ZEWNĘTRZNYMI"
"A03","H","G21.3","PARKINSONIZM PO ZAPALENIU MÓZGU"
"A03","H","G21.8","INNY PARKINSONIZM WTÓRNY"
"A03","H","G21.9","PARKINSONIZM WTÓRNY, NIE OKREŚLONY"
"A03","H","G23.0","CHOROBA HELLERVORDENA-SPATZA"
"A03","H","G23.1","POSTĘPUJACE PONADJĄDROWE PORAŻENIE MIĘŚNI OKA /STEELA-RICHARDSONA-OLSZEWSKIEGO/"
"A03","H","G23.2","ZWYRODNIENIE PRĄŻKOWIA I ISTOTY CZARNEJ /STRIATONIGRALIS DEGENERATIO/"
"A03","H","G23.8","INNE OKREŚLONE CHOROBY ZWYRODNIENIOWE JĄDER PODSTAWY"
"A03","H","G24.0","DYSTONIA WYWOŁANA PRZEZ LEKI"
"A03","H","G24.1","DYSTONIA SAMOISTNA RODZINNA"
"A03","H","G24.2","DYSTONIA SAMOISTNA NIEDZIEDZICZNA"
"A03","H","G24.3","KURCZOWY KRĘCZ KARKU"
"A03","H","G24.4","DYSTONIA SAMOISTNA W OBRĘBIE TWARZY"
"A03","H","G24.5","KURCZ POWIEK"
"A03","H","G24.8","INNE DYSTONIE"
"A03","H","G24.9","DYSTONIA, NIE OKREŚLONA"
"A03","H","G25.0","DRŻENIE SAMOISTNE"
"A03","H","G25.1","DRŻENIE POLEKOWE"
"A03","H","G25.2","INNE OKREŚLONE FORMY DRŻENIA"
"A03","H","G25.3","MIOKLONIA"
"A03","H","G25.4","PLĄSAWICA POLEKOWA"
"A03","H","G25.5","INNA PLĄSAWICA"
"A03","H","G25.6","POLEKOWE I INNE TIKI POCHODZENIA ORGANICZNEGO"
"A03","H","G25.8","INNE OKREŚLONE ZABURZENIA POZAPIRAMIDOWE I ZABURZENIA CZYNNOŚCI RUCHOWYCH"
"A03","H","G25.9","ZABURZENIA POZAPIRAMIDOWE I ZABURZENIA CZYNNOŚCI RUCHOWYCH, NIE OKREŚLONE"
"A04","H","G20","CHOROBA PARKINSONA"
"A04","H","G21.0","ZŁOŚLIWY ZESPÓŁ NEUROLEPTYCZNY"
"A04","H","G21.1","PARKINSONIZM WTÓRNY WYWOŁANY INNYMI LEKAMI"
"A04","H","G21.2","PARKINSONIZM WTÓRNY WYWOŁANY INNYMI CZYNNIKAMI ZEWNĘTRZNYMI"
"A04","H","G21.3","PARKINSONIZM PO ZAPALENIU MÓZGU"
"A04","H","G21.8","INNY PARKINSONIZM WTÓRNY"
"A04","H","G21.9","PARKINSONIZM WTÓRNY, NIE OKREŚLONY"
"A04","H","G23.0","CHOROBA HELLERVORDENA-SPATZA"
"A04","H","G23.1","POSTĘPUJACE PONADJĄDROWE PORAŻENIE MIĘŚNI OKA /STEELA-RICHARDSONA-OLSZEWSKIEGO/"
"A04","H","G23.2","ZWYRODNIENIE PRĄŻKOWIA I ISTOTY CZARNEJ /STRIATONIGRALIS DEGENERATIO/"
"A04","H","G23.8","INNE OKREŚLONE CHOROBY ZWYRODNIENIOWE JĄDER PODSTAWY"
"A04","H","G24.0","DYSTONIA WYWOŁANA PRZEZ LEKI"
"A04","H","G24.1","DYSTONIA SAMOISTNA RODZINNA"
"A04","H","G24.2","DYSTONIA SAMOISTNA NIEDZIEDZICZNA"
"A04","H","G24.3","KURCZOWY KRĘCZ KARKU"
"A04","H","G24.4","DYSTONIA SAMOISTNA W OBRĘBIE TWARZY"
"A04","H","G24.5","KURCZ POWIEK"
"A04","H","G24.8","INNE DYSTONIE"
"A04","H","G24.9","DYSTONIA, NIE OKREŚLONA"
"A04","H","G25.0","DRŻENIE SAMOISTNE"
"A04","H","G25.1","DRŻENIE POLEKOWE"
"A04","H","G25.2","INNE OKREŚLONE FORMY DRŻENIA"
"A04","H","G25.3","MIOKLONIA"
"A04","H","G25.4","PLĄSAWICA POLEKOWA"
"A04","H","G25.5","INNA PLĄSAWICA"
"A04","H","G25.6","POLEKOWE I INNE TIKI POCHODZENIA ORGANICZNEGO"
"A04","H","G25.8","INNE OKREŚLONE ZABURZENIA POZAPIRAMIDOWE I ZABURZENIA CZYNNOŚCI RUCHOWYCH"
"A04","H","G25.9","ZABURZENIA POZAPIRAMIDOWE I ZABURZENIA CZYNNOŚCI RUCHOWYCH, NIE OKREŚLONE"
"A04","H","G54.5","NERWOBÓL Z ZANIKIEM MIĘŚNI"
"A04","H","G54.6","ZESPÓŁ BÓLU FANTOMOWEGO KOŃCZYNY Z BÓLEM"
"A04","H","G54.7","ZESPÓŁ BÓLU FANTOMOWEGO KOŃCZYNY BEZ BÓLU"
"A1N","N","S02.0","ZŁAMANIE KOŚCI SKLEPIENIA CZASZKI"
"A1N","N","S02.1","ZŁAMANIE KOŚCI PODSTAWY CZASZKI"
"A1N","N","S02.2","ZŁAMANIE KOŚCI NOSOWYCH"
"A1N","N","S02.6","ZŁAMANIE ŻUCHWY"
"A1N","N","S02.7","WIELOKROTNE ZŁAMAŃIA KOŚCI CZASZKI I TWARZOCZASZKI"
"A1N","N","S02.8","ZŁAMANIE INNYCH KOŚCI CZASZKI I TWARZOCZASZKI"
"A1N","N","S02.9","ZŁAMANIE KOŚCI CZASZKI I TWARZOCZASZKI, CZĘŚĆ NIEOKREŚLONA"
"A1N","N","S04.0","URAZ NERWU I DRÓG WZROKOWYCH"
"A1N","N","S06.0","WSTRZĄŚNIENIE"
"A1N","N","S06.1","URAZOWY OBRZĘK MÓZGU"
"A1N","N","S06.2","ROZLANY URAZ MÓZGU"
"A1N","N","S06.3","OGNISKOWY URAZ MÓZGU"
"A1N","N","S06.4","KRWOTOK NADTWARDÓWKOWY"
"A1N","N","S06.5","URAZOWY KRWOTOK PODTWARDÓWKOWY"
"A1N","N","S06.6","URAZOWY KRWOTOK PODPAJĘCZYNÓWKOWY"
"A1N","N","S06.7","URAZ SRÓDCZASZKOWY Z DŁUGOTRWAŁYM OKRESEM NIEPRZYTOMNOŚCI"
"A1N","N","S06.8","INNE URAZY SRÓDCZASZKOWE"
"A1N","N","S06.9","URAZ SRÓDCZASZKOWY, NIE OKREŚLONY"
"A1N","N","S07.1","URAZ ZMIAŻDŻENIOWY CZASZKI"
"A1N","N","S09.7","LICZNE URAZY GŁOWY"
"A1N","N","S09.8","INNE OKREŚLONE URAZY GŁOWY"
"A1N","N","S09.9","NIEOKREŚLONY URAZ GŁOWY"
"A1N","N","T02.0","ZŁAMAŃIA OBEJMUJĄCE GŁOWĘ I SZYJĘ"
"A1N","N","T90.5","NASTĘPSTWA URAZU ŚRÓDCZASZKOWEGO"
"A3N","N","E10.4","CUKRZYCA INSULINOZALEŻNA (Z POWIKŁANIAMI NEUROLOGICZNYMI)"
"A3N","N","E11.4","CUKRZYCA INSULINONIEZALEŻNA (Z POWIKŁANIAMI NEUROLOGICZNYMI)"
"A3N","N","E12.4","CUKRZYCA ZWIĄZANA Z NIEDOŻYWIENIEM (Z POWIKŁANIAMI NEUROLOGICZNYMI)"
"A3N","N","E13.4","INNE OKREŚLONE POSTACIE CUKRZYCY (Z POWIKŁANIAMI NEUROLOGICZNYMI)"
"A3N","N","E14.4","CUKRZYCA NIE OKREŚLONA (Z POWIKŁANIAMI NEUROLOGICZNYMI)"
"A3N","N","G54.0","ZABURZENIA SPLOTU RAMIENNEGO"
"A3N","N","G54.1","ZABURZENIA SPLOTU LĘDŹWIOWO-KRZYŻOWEGO"
"A3N","N","G54.2","ZABURZENIA KORZENI NERWÓW RDZENIOWYCH SZYJNYCH NIESKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G54.3","ZABURZENIA KORZENI NERWÓW RDZENIOWYCH PIERSIOWYCH NIESKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G54.4","ZABURZENIA KORZENI NERWÓW RDZENIOWYCH LĘDŹWIOWO-KRZYŻOWYCH NIESKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G54.5","NERWOBÓL Z ZANIKIEM MIĘŚNI"
"A3N","N","G54.6","ZESPÓŁ BÓLU FANTOMOWEGO KOŃCZYNY Z BÓLEM"
"A3N","N","G54.7","ZESPÓŁ BÓLU FANTOMOWEGO KOŃCZYNY BEZ BÓLU"
"A3N","N","G54.8","INNE ZABURZENIA KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH"
"A3N","N","G54.9","ZABURZENIA KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH, NIE OKREŚLONE"
"A3N","N","G55.0","UCISK KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH W CHOROBACH NOWOTWOROWYCH (C00-D48+)"
"A3N","N","G55.1","UCISK KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH W ZABURZENIACH KRĄŻKA MIĘDZYKRĘGOWEGO (M50-M51+)"
"A3N","N","G55.2","UCISK KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH W ZMIANACH ZWYRODNIENIOWYCH KRĘGÓW (M47.-+)"
"A3N","N","G55.3","UCISK KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH W INNYCH (DOLEGLIWOŚCIACH KRĘGOSŁUPA) DORSOPATIACH (M45-M46+, M48.-+, M53-M54+)"
"A3N","N","G55.8","UCISK KORZENI NERWÓW RDZENIOWYCH I SPLOTÓW NERWOWYCH W INNYCH CHOROBACH SKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G56.1","INNE USZKODZENIA NERWU POŚRODKOWEGO"
"A3N","N","G56.2","USZKODZENIE NERWU ŁOKCIOWEGO"
"A3N","N","G56.3","USZKODZENIE NERWU PROMIENIOWEGO"
"A3N","N","G56.4","KAUZALGIA"
"A3N","N","G56.8","INNE MONONEUROPATIE KOŃCZYNY GÓRNEJ"
"A3N","N","G56.9","MONONEUROPATIE KOŃCZYNY GÓRNEJ, NIE OKREŚLONE"
"A3N","N","G57.0","USZKODZENIE NERWU KULSZOWEGO"
"A3N","N","G57.1","ZESPÓŁ NERWU SKÓRNEGO BOCZNEGO UDA /NEURALGIA PARAESTHETICA/"
"A3N","N","G57.2","USZKODZENIE NERWU UDOWEGO"
"A3N","N","G57.3","USZKODZENIE NERWU STRZAŁKOWEGO WSPÓLNEGO"
"A3N","N","G57.4","USZKODZENIE NERWU PISZCZELOWEGO"
"A3N","N","G57.5","ZESPÓŁ KANAŁU STĘPU"
"A3N","N","G57.6","USZKODZENIE NERWÓW PODESZWY"
