"list_code_id","list_type_id","code","range","name"
"A02","H","01.01","3","NAKŁUCIE ZBIORNIKA PODPAJĘCZYNÓWKOWEGO"
"A02","H","01.02","3","NAKŁUCIE DRENU WPROWADZONEGO DO KOMORY (MÓZGU)"
"A02","H","01.091","3","ASPIRACJA PRZESTRZENI PODPAJĘCZYNÓWKOWEJ"
"A02","H","01.092","3","ASPIRACJA PRZESTRZENI PODTWARDÓWKOWEJ"
"A02","H","01.093","3","INNE ASPIRACJE W ZAKRESIE CZASZKI"
"A02","H","01.094","3","NAKŁUCIE CIEMIĄCZKA PRZEDNIEGO"
"A02","H","01.095","3","NAKŁUCIE PODTWARDÓWKOWE PRZEZ CIEMIĄCZKO"
"A02","H","01.11","3","PRZEZSKÓRNA BIOPSJA OPON MÓZGU"
"A02","H","01.12","3","BIOPSJA OPON MÓZGU"
"A02","H","01.131","3","PRZESKÓRNA BIOPSJA MÓZGU PRZEZ OTWÓR TREPANACYJNY"
"A02","H","01.132","3","PRZESKÓRNA BIOPSJA MÓZGU METODĄ STEREOTAKTYCZNĄ"
"A02","H","01.14","3","OTWARTA BIOPSJA MÓZGU"
"A02","H","01.18","3","INNE ZABIEGI DIAGNOSTYCZNE MÓZGU I OPON MÓZGOWYCH"
"A02","H","01.19","3","INNE ZABIEGI DIAGNOSTYCZNE CZASZKI"
"A02","H","01.21","3","NACIĘCIE/ DRENAŻ ZATOK CZASZKI"
"A02","H","01.22","3","USUNIĘCIE WEWNĄTRZCZASZKOWEGO NEUROSTYMULATORA"
"A02","H","01.23","3","POWTÓRNE OTWARCIE W MIEJSCU KRANIOTOMII"
"A02","H","01.242","3","OPERACJA ZWIADOWCZA (EKSPLORACJA)"
"A02","H","01.243","3","TREPANACJA CZASZKI"
"A02","H","01.244","3","KRANIOTOMIA Z USUNIĘCIEM ROPNIA NADTWARDÓWKOWEGO"
"A02","H","01.245","3","KRANIOTOMIA Z USUNIĘCIEM KRWIAKA NADTWARDÓWKOWEGO"
"A02","H","01.246","3","KRANIOTOMIA Z USUNIĘCIEM OBCEGO CIAŁA Z CZASZKI"
"A02","H","01.247","3","KRANIOTOMIA Z USUNIĘCIEM KRWIAKA PODTWARDÓWKOWEGO"
"A02","H","01.248","3","KRANIOTOMIA Z USUNIĘCIEM KRWIAKA ŚRÓDMÓZGOWEGO"
"A02","H","01.251","3","OCZYSZCZENIE CZASZKI"
"A02","H","01.252","3","USUNIĘCIE MARTWAKA CZASZKI"
"A02","H","01.253","3","SEKWESTREKTOMIA W OBRĘBIE CZASZKI"
"A02","H","01.321","3","PRZECIĘCIE TKANEK MÓZGU"
"A02","H","01.322","3","PRZECIĘCIE DRÓG MÓZGOWYCH"
"A02","H","01.323","3","PRZEZSKÓRNE PRZECIĘCIE ZAKRĘTU OBRĘCZY"
"A02","H","01.329","3","LOBOTOMIA/ TRAKTOTOMIA - INNE"
