"LIST_TYPE","LIST_CODE","JGP_CODE","ALGORITHM_CODE","HOSPITAL_LIMIT","AGE_LIMIT","COND1_ICD9_LIST_CODE","COND1_ICD9_COUNT","COND2_ICD9_LIST_CODE","COND2_ICD9_COUNT","COND_MAIN_ICD10_LIST_CODE","COND1_ICD10_LIST_CODE","COND2_ICD10_LIST_CODE","LIMIT_SEX","LIMIT_ACCEPT","LIMIT_EXTRACT","NEGATIVE_ICD9_LIST_CODE","NEGATIVE_ICD10_LIST_CODE"
"ICD9","A02","A01","e",,,,,,,"A01",,,,,,,
"ICD9","A02","A02","e",,,,,,,"A02",,,,,,,
"ICD9","A03","A03","j",,,"A04",1,"A1",1,"A03",,,,,,,
"ICD9","A03","A03","t",,,"A04",1,"A1",1,,"A5",,,,,,
"ICD9","A04","A04","e",,,,,,,"A04",,,,,,"A03",
"ICD9","A04","A04","v",,,,,,,,"A6",,,,,"A03",
"ICD9","A11A","A11","a",,,,,,,,,,,,,,
"ICD9","A11B","A11","a",,,,,,,,,,,,,,"A1N"
"ICD9","A12B","A12","a",,,,,,,,,,,,,,"A1N"
"ICD9","A12A","A12","a",,,,,,,,,,,,,,
"ICD9","A13A","A13","a",,,,,,,,,,,,,,"A3N"
"ICD9","A13B","A13","a",,,,,,,,,,,,,,"A1N"
"ICD9","A14A","A14","a",,,,,,,,,,,,,,"A3N"
"ICD9","A14B","A14","a",,,,,,,,,,,,,,"A1N"
"ICD9","A22","A22","a",,,,,,,,,,,,,,
"ICD9","A23","A23","a",,,,,,,,,,,,,,
"ICD9","A25","A25","e",,,,,,,"A31",,,,,,,
"ICD9","A26","A26","b",1,,,,,,,,,,,,,
"ICD10","A30","A30","d",,,"A2",1,"A2",1,,,,,,,,
"ICD10","LOg","A30","d",,,"A2",1,"A2",1,,"A30r",,,,,,
"ICD10","A31","A31","a",,,,,,,,,,,,,,
"ICD10","LOg","A31","r",,,,,,,,"A31r",,,,,,
"ICD10","A32","A32","a",,,,,,,,,,,,,,
"ICD10","LOg","A32","r",,,,,,,,"A32r",,,,,,
"ICD10","A33","A33","a",,,,,,,,,,,,,,
"ICD10","A34","A34","a",,,,,,,,,,,,,,
"ICD10","A35","A35","a",,,,,,,,,,,,,,
"ICD10","LOg","A35","r",,,,,,,,"A35r",,,,,,
"ICD10","A36","A36","a",,,,,,,,,,,,,,
"ICD10","A45","A45","a",,,,,,,,,,,,,,
"ICD10","A46","A46","a",,,,,,,,,,,,,,
"ICD10","LOg","A46","r",,,,,,,,"A46r",,,,,,
"ICD10","A46","A47","d",,,"A3",1,"A3",1,,,,,,,,
"ICD10","LOg","A47","d",,,"A3",1,"A3",1,,"A46r",,,,,,
"ICD9","A48","A48","g",5,,"A48",1,,,"A48",,,,,,,
"ICD9","A49","A49","e",3,,,,,,"A48",,,,,,,
"ICD10","A50","A50","a",,,,,,,,,,,,,,
"ICD9","A51","A51","e",5,,,,,,"A51",,,,,,,
"ICD9","A51","A51","e",,,,,,,"A51",,,,,9,,
"ICD10","A56","A56","a",,,,,,,,,,,,,,
